Codigo,Valor
SILS-01,G:0 D:9.9
SICN106,G:1112 D:0
SICN-69,G:1073.2 D:0.4
SICN115,G:0 D:0
SICN-75,G:0 D:33.4
SICN-25,G:0 D:151.1
SICN-26,G:0 D:2.4
SICN207,G:0 D:0
SILS-05,G:92.8 D:105.4
SICN-29,G:80.6 D:259.9
SILS-07,G:59.1 D:14.2
SICN116,G:0 D:0
SILS-08,G:0 D:35.1
SICN-86,G:0 D:0
SICN029,G:65.4 D:0
SICN101,G:0 D:68.2
SILS-03,G:0 D:14.8
SILS-06,G:0 D:85.4
SILS-02,G:0 D:80.5
SIS-02,G:10.5 D:0.1
SIS-03,G:17.5 D:2.8
SIS-06,G:0 D:133.3
SIS-10,G:0 D:0
SIS-13,G:280 D:124.6
SIS-07,G:0 D:24.2
SIS-34,G:141.1 D:0
SIS-55,G:23.6 D:0
SIS-54,G:0 D:0
SIS-26,G:0 D:0
SIS-30,G:0 D:165
SIS-16,G:24.4 D:19.2
SIS-35,G:104.5 D:0
SIS-41,G:0 D:0
SIS-17,G:27.3 D:8.4
SIS-18,G:0 D:117.7
SIS-63,G:0 D:5.6
SIS-56,G:0 D:0
SIS-33,G:26.7 D:10.5
SIS-52,G:0 D:0
SIS-51,G:255.1 D:0
SIS-32,G:0 D:302.9
SIS-22,G:124.9 D:59.4
SIS-23,G:40.7 D:270
SIS-24,G:0 D:80.2
SIS-25,G:0 D:52.2
SIS-27,G:11.9 D:75.7
SIS-57,G:0 D:88.6
SIS-29,G:0 D:3
SIS-31,G:0 D:0
SIS148,G:0 D:0
SIS-48,G:0 D:0
SIS-62,G:0 D:13.5
SIS-04,G:0 D:4.3
SIS-05,G:0 D:5
SIS-49,G:0 D:0
SIS-14,G:0 D:37.2
SIS-50,G:0 D:0
SIS-60,G:0 D:16
SIS-38,G:0 D:14.4
SIS-39,G:0 D:19.5
SIS-19,G:0 D:26.9
SIS-20,G:0 D:16.6
SIS-61,G:0 D:6.4
SIS-37,G:170.5 D:39
SIS-66,G:0 D:0
SIS-40,G:0 D:27.9
SIS-59,G:0 D:11.5
BR-01,G:0 D:0
SICO-01,G:0 D:0
SICO-02,G:0 D:0
SICO-03,G:0 D:0
SICO-04,G:0 D:0
SICO-05,G:0 D:0
SICO-06,G:0 D:0
